"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","X_COORD_CD","Y_COORD_CD","Latitude","Longitude"
"297623042","12/06/2024","13:06:00","MANHATTAN","OUTSIDE","1","0","STREET",,"983437","201643","40.720149","-74.002931"
"73794477","07/21/2010","01:32:00","MANHATTAN","OUTSIDE","1","0","STREET","BAR/NIGHT CLUB","982761","204594","40.728241","-74.00537"
"242784290","03/28/2022","22:18:00","MANHATTAN","OUTSIDE","5","0","STREET","MULTI DWELL - APT BUILD","984732","200728","40.717629","-73.99826"
"24449553","09/23/2006","00:02:00","MANHATTAN","OUTSIDE","5","0","STREET",,"986929","202081","40.721343","-73.990335"
"64318199","08/02/2009","01:44:00","MANHATTAN","OUTSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","986577","200423","40.716801","-73.991606"
"11118235","04/26/2006","21:05:00","MANHATTAN","OUTSIDE","6","0","STREET",,"982301","204919","40.729142","-74.007033"
"235033374","10/15/2021","20:30:00","MANHATTAN","OUTSIDE","7","0","STREET",,"987969","200865","40.71800393","-73.98658398"
"52144006","10/10/2008","01:38:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989248","198472","40.711446","-73.98197"
"37401695","01/01/2008","05:12:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989138","199179","40.713385","-73.982369"
"16631507","05/31/2006","21:16:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - APT BUILD","989248","198472","40.711446","-73.98197"
"60272797","04/04/2009","03:06:00","MANHATTAN","OUTSIDE","7","0","HOUSING","MULTI DWELL - PUBLIC HOUS","987481","198515","40.711564","-73.988344"
"236170275","11/11/2021","20:17:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989138","199179","40.713377","-73.982368"
"93525204","11/10/2013","23:30:00","MANHATTAN","OUTSIDE","9","0","STREET",,"990451","201401","40.719482","-73.977629"
"47334459","06/18/2008","19:50:00","MANHATTAN","OUTSIDE","9","0","STREET",,"989807","202534","40.722593","-73.97995"
"45218810","04/03/2008","19:17:00","MANHATTAN","OUTSIDE","9","0","HOUSING","MULTI DWELL - PUBLIC HOUS","990788","204295","40.727419","-73.976409"
"82122314","12/10/2011","00:13:00","MANHATTAN","OUTSIDE","9","2","HOUSING","MULTI DWELL - PUBLIC HOUS","990377","204681","40.728477","-73.977891"
"219687217","10/23/2020","23:15:00","MANHATTAN","OUTSIDE","10","2","HOUSING","MULTI DWELL - PUBLIC HOUS","983746","211928","40.748379","-74.001818"
"87931467","12/01/2012","04:09:00","MANHATTAN","OUTSIDE","10","0","STREET",,"985696","211733","40.747837","-73.994778"
"254053456","11/13/2022","03:33:00","MANHATTAN","OUTSIDE","13","0","STREET","COMMERCIAL BLDG","985850","210155","40.743504","-73.994224"
"153415475","05/25/2016","22:15:00","MANHATTAN","INSIDE","13","0","COMMERCIAL","BAR/NIGHT CLUB","987561","207048","40.734984","-73.988053"
"214690556","06/26/2020","00:30:00","MANHATTAN","OUTSIDE","13","0","STREET",,"987583","210248","40.743758","-73.98797"
"263349965","02/09/2023","17:37:00","MANHATTAN","OUTSIDE","14","0","STREET",,"985764","213806",,
"244608249","05/05/2022","00:10:00","MANHATTAN","INSIDE","14","0","COMMERCIAL","VIDEO STORE","986050","214231","40.754692","-73.9935"
"316522914","11/23/2025","04:15:00","MANHATTAN","OUTSIDE","18","0","STREET",,"984643","217725","40.7642812","-73.99858129"
"24814509","10/16/2006","02:30:00","MANHATTAN","OUTSIDE","18","0","STREET",,"985370","216721","40.761534","-73.995958"
